Stock #,Status,Price,Sleeps,Length,Location,URL,Horsepower
2087056P,USED,79499,5,24 ft 11 in,"Saukville, WI",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2018-forest-river-sunseeker-mbs-2400r-front-living-70k-SAU2087056P,
2191745,USED,81999,4,24 ft 0 in,"Ridgeland, SC",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2016-thor-compass-23tr-front-living-80k-RSC2191745,
2177283,USED,82499,4,23 ft 6 in,"Concord, NC",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2017-thor-compass-23tb-front-living-80k-CNC2177283,
2138661P,USED,81999,6,24 ft 8 in,"Uxbridge, MA",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2015-forest-river-solera-24s-front-living-80k-UMA2138661P,
2193503,USED,82999,3,23 ft 6 in,"Owatonna, MN",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2017-thor-compass-23tk-front-living-80k-OMN2193503,
2201436,USED,82999,5,24 ft 11 in,"Hope Mills, NC",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2016-forest-river-sunseeker-mbs-2400r-front-living-80k-FAY2201436,
2184926,USED,82599,4,25 ft 5 in,"Bartow, FL",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2014-itasca-navion-24v-front-living-80k-DCW2184926,
2145736,USED,82499,4,25 ft 0 in,"Akron, OH",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2019-thor-compass-24tf-front-living-80k-SRV2145736,
2177472,USED,82499,5,24 ft 8 in,"Tulsa, OK",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2018-thor-freedom-elite-24fe-rear-bath-80k-TUL2177472,
2177027P,USED,83999,4,23 ft 6 in,"Burlington, WA",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2018-thor-compass-23tk-front-living-80k-FRV2177027P,
2197269P,USED,83495,4,24 ft 0 in,"Avondale, AZ",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2017-winnebago-fuse-23t-front-living-80k-AVO2197269P,
2086287,USED,83499,5,24 ft 10 in,"Mesa, AZ",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2018-thor-chateau-citation-24ss-rear-bath-80k-MES2086287,
2013CONS,USED,84494,5,24 ft 8 in,"Longmont, CO",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2019-thor-freedom-elite-24fe-front-living-80k-KC12013CONS,
2170460,USED,84499,6,24 ft 8 in,"Rossford, OH",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2018-thor-quantum-km24-front-living-80k-ROS2170460,
2177326,USED,84499,5,24 ft 8 in,"Gulf Breeze, FL",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2018-thor-freedom-elite-24fe-rear-bath-80k-GB2177326,
